mode,thinking,concurrency,aggregate_tps,completed_requests,request_count,errors,capacity_limited_flag,effective_concurrency,max_running_reqs,ttft_p50_ms,itl_p50_ms,latency_p50_ms,user_tps_p50,accept_length,accept_rate,engine_steps_per_second,context_tokens,max_tokens,temperature,ignore_eos,reasoning_effort,disable_thinking
dspark,xhigh,1,151.66931049227824,5,5,0,False,0.9,1,152.44154399988474,6.416747376342604,6717.679695997504,155.84219564055468,1.825,0.11785714285714285,83.10647150261822,8192,1024,0.0,True,xhigh,False
dspark,xhigh,2,276.30373300944063,10,10,0,False,1.9,2,169.0180399982637,7.117608400294699,7488.342938999267,140.4968216798855,2.7457627118644066,0.24939467312348668,100.62913733059875,8192,1024,0.0,True,xhigh,False
dspark,xhigh,4,509.85701235625294,20,20,0,False,3.7,4,160.03066600023885,7.62135622091826,7956.487246001416,131.21024287639986,2.8676470588235294,0.2668067226890756,177.79629148833436,8192,1024,0.0,True,xhigh,False
dspark,xhigh,8,880.8589240366231,40,40,0,False,7.4,8,210.7104070000787,8.751171467741019,9161.300985999333,114.27052424294078,1.992,0.1417142857142857,442.1982550384654,8192,1024,0.0,True,xhigh,False
dspark,xhigh,16,1474.090596790398,80,80,0,False,15.3,16,266.1952364996978,10.285815593841532,11045.851697999751,97.22133191587338,1.7627737226277371,0.10896767466110532,836.2335890695011,8192,1024,0.0,True,xhigh,False
dspark,xhigh,32,2215.4321803474013,160,160,0,False,30.2,32,878.4520139997767,12.842354731670277,14007.296752999537,77.86733985812523,1.7596153846153846,0.10851648351648352,1259.0434248968838,8192,1024,0.0,True,xhigh,False
dspark,xhigh,64,2544.1370661443425,320,320,0,True,57.5,63,1308.9232065012766,22.222869184260432,24330.132127999605,44.99868994034557,2.2569832402234637,0.17956903431763768,1127.2290466332606,8192,1024,0.0,True,xhigh,False
mtp,low,1,214.66765679061325,5,5,0,False,0.9,1,154.14287900057388,4.481131031278877,4738.339923998865,223.15794673707825,2.675,0.5583333333333333,80.24959132359375,8192,1024,0.0,True,low,False
mtp,low,2,412.0211856716443,10,10,0,False,1.9,2,173.01977849820105,4.5949777639318645,4912.283713998477,217.73476669485694,2.925,0.6416666666666667,140.86194381936556,8192,1024,0.0,True,low,False
mtp,low,4,760.8966859771805,20,20,0,False,3.8,4,219.55479649841436,4.998983148582535,5321.921370501514,200.04845337950547,2.6625,0.5541666666666667,285.78279285527907,8192,1024,0.0,True,low,False
